식물ID,국명,학명,분류,서울적합도,내한성,내열성,일조요구,관수빈도,관리난이도,옥상적합,개화시기,단가_3치포트,단가_5치포트,사용빈도,고객선호도,실패율,추천조합
PLT-001,구절초,Dendranthema zawadskii,초화류,5.0,상,상,전일조,1~2회,1,중,9~10월,2500,7000,31,4.3,2,"원추리, 비비추"
PLT-002,에키나시아,Echinacea purpurea,초화류,4.5,상,상,전일조,1~2회,2,중,7~9월,3000,9000,31,4.5,7,"루드베키아, 비비추"
PLT-003,루드베키아,Rudbeckia hirta,초화류,4.8,상,상,전일조,1~2회,1,상,7~9월,2000,6000,39,4.2,3,"원추리, 비비추"
PLT-004,비비추,Hosta longipes,초화류,5.0,상,중,반음지,2~3회,1,중,7~8월,2500,8000,32,4.4,2,"작약, 개나리"
PLT-005,맥문동,Liriope muscari,초화류,5.0,상,상,반음지,1~2회,1,상,7~8월,2000,6000,31,4.1,2,"비비추, 원추리"
PLT-006,수선화,Narcissus tazetta,초화류,4.5,상,중,전일조,1~2회,1,중,3~4월,1500,5000,36,4.6,2,"작약, 개나리"
PLT-007,튤립,Tulipa gesneriana,초화류,4.0,상,중,전일조,1~2회,2,중,4~5월,1500,5000,28,4.7,9,"원추리, 비비추"
PLT-008,무스카리,Muscari armeniacum,초화류,4.5,상,중,전일조,1~2회,1,중,3~4월,1200,4000,36,4.3,5,"살비아, 가우라"
PLT-009,크로커스,Crocus vernus,초화류,4.0,상,중,전일조,1~2회,2,중,3~4월,1500,4500,34,4.2,10,"수선화, 무스카리"
PLT-010,아이리스,Iris germanica,초화류,4.5,상,중,전일조,1~2회,2,중,4~6월,2500,7500,28,4.4,10,"루드베키아, 에키나시아"
PLT-011,작약,Paeonia lactiflora,초화류,5.0,상,중,전일조,2~3회,2,하,5~6월,5000,15000,36,4.8,5,"수선화, 무스카리"
PLT-012,원추리,Hemerocallis fulva,초화류,5.0,상,상,전일조,1~2회,1,상,6~8월,2000,6000,43,4.2,2,"패랭이꽃, 타임"
PLT-013,옥잠화,Hosta plantaginea,초화류,5.0,상,중,음지,2~3회,1,중,8~9월,2500,7500,37,4.3,2,"비비추, 맥문동"
PLT-014,꽃창포,Iris ensata,초화류,4.8,상,상,전일조,2~3회,2,하,5~7월,3000,9000,34,4.5,5,"작약, 개나리"
PLT-015,붓꽃,Iris sanguinea,초화류,5.0,상,상,전일조,1~2회,1,중,5~6월,2500,7000,31,4.4,2,"원추리, 비비추"
PLT-016,벌개미취,Aster koraiensis,초화류,5.0,상,상,전일조,1~2회,1,상,7~10월,2000,6000,32,4.3,2,"살비아, 가우라"
PLT-017,쑥부쟁이,Aster yomena,초화류,5.0,상,상,전일조,1~2회,1,상,8~10월,2000,5500,35,4.0,2,"붓꽃, 수크령"
PLT-018,참나리,Lilium lancifolium,초화류,5.0,상,상,전일조,2~3회,2,중,7~8월,3000,9000,36,4.5,5,"작약, 개나리"
PLT-019,금낭화,Lamprocapnos spectabilis,초화류,4.5,상,중,반음지,2~3회,2,하,4~5월,3000,9000,29,4.7,6,"라벤더, 세이지"
PLT-020,돌단풍,Aceriphyllum rossii,초화류,5.0,상,중,반음지,2~3회,2,중,4~5월,3500,10000,43,4.3,5,"수선화, 무스카리"
PLT-021,패랭이꽃,Dianthus chinensis,초화류,4.5,상,상,전일조,2~3회,2,상,5~10월,2000,6000,31,4.4,11,"비비추, 맥문동"
PLT-022,꽃범의꼬리,Physostegia virginiana,초화류,4.5,상,상,전일조,2~3회,2,중,7~9월,2500,7500,35,4.2,7,"붓꽃, 수크령"
PLT-023,부처꽃,Lythrum salicaria,초화류,4.8,상,상,전일조,3~4회,2,하,7~8월,2500,7500,31,4.1,8,"패랭이꽃, 타임"
PLT-024,해바라기,Helianthus annuus,초화류,4.5,중,상,전일조,2~3회,1,중,7~9월,1500,4500,38,4.3,3,"수선화, 무스카리"
PLT-025,코스모스,Cosmos bipinnatus,초화류,4.5,중,상,전일조,1~2회,1,상,8~10월,1000,3500,38,4.1,5,"붓꽃, 수크령"
PLT-026,카네이션,Dianthus caryophyllus,초화류,3.5,중,중,전일조,2~3회,3,중,5~6월,3000,9000,32,4.6,17,"루드베키아, 에키나시아"
PLT-027,국화,Chrysanthemum morifolium,초화류,5.0,상,중,전일조,2~3회,2,중,10~11월,2500,7500,34,4.5,4,"루드베키아, 에키나시아"
PLT-028,용담,Gentiana scabra,초화류,4.8,상,중,전일조,2~3회,3,중,9~10월,3500,10000,33,4.4,9,"붓꽃, 수크령"
PLT-029,복수초,Adonis amurensis,초화류,5.0,상,중,반음지,2~3회,3,하,2~3월,5000,15000,34,4.8,9,"붓꽃, 수크령"
PLT-030,할미꽃,Pulsatilla koreana,초화류,5.0,상,상,전일조,1~2회,2,중,3~4월,4000,12000,43,4.6,3,"라벤더, 세이지"
PLT-031,층꽃나무,Caryopteris incana,초화류,4.5,상,상,전일조,1~2회,2,상,8~10월,2500,7500,28,4.2,6,"패랭이꽃, 타임"
PLT-032,상사화,Lycoris squamigera,초화류,4.8,상,상,전일조,1~2회,1,중,8~9월,3000,9000,30,4.5,2,"구절초, 억새"
PLT-033,꿩의비름,Hylotelephium spectabile,초화류,5.0,상,상,전일조,1~2회,1,상,8~10월,2000,6000,40,4.1,2,"원추리, 비비추"
PLT-034,산비장이,Serratula coronata,초화류,4.8,상,상,전일조,1~2회,2,중,8~10월,2500,7500,39,3.9,4,"코스모스, 핑크뮬리"
PLT-035,노루오줌,Astilbe chinensis,초화류,4.5,상,중,반음지,2~3회,2,중,6~8월,3000,9000,38,4.3,7,"코스모스, 핑크뮬리"
PLT-036,삼백초,Saururus chinensis,초화류,4.5,상,중,반음지,3~4회,2,하,6~7월,3500,10000,30,3.8,6,"구절초, 억새"
PLT-037,범부채,Iris domestica,초화류,4.8,상,상,전일조,1~2회,1,중,7~8월,2500,7500,37,4.0,3,"수선화, 무스카리"
PLT-038,털중나리,Lilium amabile,초화류,5.0,상,상,전일조,2~3회,2,중,6~7월,3000,9000,37,4.4,5,"작약, 개나리"
PLT-039,둥굴레,Polygonatum odoratum,초화류,5.0,상,중,반음지,2~3회,1,중,5~6월,2500,7500,34,4.0,2,"루드베키아, 에키나시아"
PLT-040,은방울꽃,Convallaria majalis,초화류,4.5,상,중,반음지,2~3회,2,중,4~5월,3500,10000,29,4.7,8,"라벤더, 세이지"
PLT-041,금계국,Coreopsis tinctoria,초화류,4.5,중,상,전일조,1~2회,1,상,5~8월,1500,4500,30,4.2,6,"붓꽃, 수크령"
