이벤트ID,이벤트명,날짜,유형,장소,정원,신청수,참석수,노쇼수,참가비,만족도평균,비고
EVT-2025W-01,오프닝데이,2025-12-06,정기,정동오아시스,168,162,155,7,0,4.5,시즌 킥오프. 팀 배정 발표
EVT-2025W-29,번개모임_멘토링,2025-12-07,번개,홍대,20,22,18,4,20000,4.4,
EVT-2025W-11,번개모임_AI독서모임,2025-12-13,번개,강남,12,9,6,3,0,4.4,
EVT-2025W-30,번개모임_투자스터디,2025-12-14,번개,홍대,25,27,23,4,0,4.7,
EVT-2025W-12,번개모임_북클럽,2025-12-19,번개,성수,10,7,6,1,0,4.5,
EVT-2025W-02,네트워킹나이트1,2025-12-20,정기,정동오아시스,80,95,78,17,0,4.2,연말 분위기로 참여 높음
EVT-2025W-03,번개모임_을지로노가리,2025-12-27,번개,을지로,20,34,19,15,15000,4.9,만족도 최고. 노가리+맥주 조합
EVT-2025W-13,번개모임_커리어토크,2025-12-28,번개,정동오아시스,25,35,24,11,15000,4.7,
EVT-2025W-14,번개모임_스터디,2026-01-04,번개,강남,20,27,17,10,15000,4.1,
EVT-2025W-15,번개모임_점심런치,2026-01-08,번개,성수,10,15,10,5,0,4.3,
EVT-2025W-04,차박캠핑,2026-01-10,특별,양평,40,52,40,0,30000,4.7,노쇼 0명. 텐트 때문에 다들 긴장. 재윤님 텐트 설치 실패 전설
EVT-2025W-05,번개모임_강남커피,2026-01-15,번개,강남,15,22,13,9,0,3.8,주중 저녁. 직장인 노쇼 多
EVT-2025W-16,번개모임_저녁회식,2026-01-17,번개,성수,25,22,22,0,0,4.0,
EVT-2025W-06,도쿄필드트립,2026-01-23,특별,도쿄,30,91,29,1,450000,4.8,신청수 정원의 3배. 로또 추첨으로 선발
EVT-2025W-17,번개모임_마케팅세미나,2026-01-24,번개,을지로,15,24,13,11,15000,4.3,
EVT-2025W-07,네트워킹나이트2,2026-01-31,정기,정동오아시스,80,74,68,6,0,4.1,
EVT-2025W-18,번개모임_신규환영,2026-02-01,번개,성수,20,23,20,3,0,4.1,
EVT-2025W-19,번개모임_리더십토론,2026-02-05,번개,마포,12,20,9,11,20000,4.5,
EVT-2025W-08,번개모임_홍대,2026-02-07,번개,홍대,25,31,22,9,10000,4.0,AI팀 자체 번개
EVT-2025W-20,번개모임_영어스터디,2026-02-08,번개,마포,15,22,14,8,10000,3.9,
EVT-2025W-21,번개모임_사이드프로젝트,2026-02-11,번개,강남,10,15,9,6,20000,3.7,
EVT-2025W-22,번개모임_파트너모임,2026-02-13,번개,합정,25,28,25,3,10000,3.9,
EVT-2025W-09,번개모임_을지로2차,2026-02-14,번개,을지로,25,38,24,14,15000,4.6,발렌타인데이 번개. 부부멤버 동반 참석
EVT-2025W-23,번개모임_연말파티,2026-02-15,번개,홍대,12,15,11,4,20000,3.7,
EVT-2025W-24,번개모임_신년회,2026-02-17,번개,마포,15,15,15,0,20000,3.7,
EVT-2025W-25,번개모임_팀장모임,2026-02-18,번개,강남,10,20,7,13,10000,4.3,
EVT-2025W-26,번개모임_러닝크루,2026-02-19,번개,성수,10,11,10,1,15000,3.8,
EVT-2025W-27,번개모임_전시관람,2026-02-20,번개,홍대,15,17,14,3,0,4.4,
EVT-2025W-28,번개모임_기업탐방,2026-02-21,번개,을지로,15,21,15,6,15000,4.7,
EVT-2025W-10,클로징데이,2026-02-22,정기,정동오아시스,168,148,138,10,0,4.4,시즌 마무리. 팀별 발표 + 파트너 승격 발표
