주문번호,주문일,주문시간,채널,카테고리,상품명,SKU,수량,단가,합계,배송지역,주문상태
LB-260301-0002,2026-03-01,04:21,자사몰,디퓨저,탠저린 블랙 디퓨저,LB-DF-002,1,21000,21000,서울,배송완료
MS-260301-0012,2026-03-01,05:30,무신사,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,15200,15200,서울,배송완료
LB-260301-0007,2026-03-01,05:38,자사몰,선물세트,섬유향수&핸드크림 세트,LB-SET-002,3,31800,95400,경기,배송완료
CM-260301-0001,2026-03-01,06:07,29CM,향수,티 슬로우 오 드 퍼퓸,LB-EDP-008,1,53300,53300,서울,배송완료
CM-260301-0006,2026-03-01,07:42,29CM,디퓨저,탠저린 블랙 디퓨저,LB-DF-002,1,20300,20300,전남,교환완료
LB-260301-0005,2026-03-01,08:19,자사몰,섬유향수,선 드라이 코튼 섬유향수,LB-FF-009,1,15800,15800,경기,배송완료
MS-260301-0008,2026-03-01,08:41,무신사,룸스프레이,스틸 웨이브 룸스프레이,LB-RS-001,1,22800,22800,서울,배송완료
KK-260301-0008,2026-03-01,09:33,카카오선물하기,향수,티 슬로우 오 드 퍼퓸,LB-EDP-008,2,55000,110000,충북,배송완료
MS-260301-0009,2026-03-01,09:53,무신사,선물세트,섬유향수 듀오 세트,LB-SET-001,1,30000,30000,경기,배송완료
LB-260301-0004,2026-03-01,10:07,자사몰,향수,클라우드 사이 오 드 퍼퓸,LB-EDP-002,1,55000,55000,경북,교환완료
MS-260301-0010,2026-03-01,10:38,무신사,핸드크림,플라워 소사이어티 핸드크림,LB-HC-003,1,15200,15200,서울,배송완료
MS-260301-0014,2026-03-01,10:45,무신사,선물세트,섬유향수 듀오 세트,LB-SET-001,1,30000,30000,경기,배송중
MS-260301-0016,2026-03-01,10:50,무신사,섬유향수,사이 섬유향수,LB-FF-001,1,15000,15000,인천,반품완료
MS-260301-0011,2026-03-01,10:58,무신사,디퓨저,와일드 가든 디퓨저,LB-DF-003,1,19900,19900,강원,배송완료
OY-260301-0003,2026-03-01,10:59,올리브영,섬유향수,칠 섬유향수,LB-FF-003,1,15800,15800,서울,배송중
KK-260301-0002,2026-03-01,11:17,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,서울,교환완료
OY-260301-0008,2026-03-01,11:17,올리브영,섬유향수,민티 섬유향수,LB-FF-008,1,15800,15800,경기,배송중
OY-260301-0004,2026-03-01,11:42,올리브영,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,45000,45000,서울,배송완료
MS-260301-0018,2026-03-01,12:25,무신사,디퓨저,탠저린 블랙 디퓨저,LB-DF-002,2,19900,39800,서울,반품완료
KK-260301-0009,2026-03-01,12:26,카카오선물하기,선물세트,섬유향수&핸드크림 세트,LB-SET-002,1,31800,31800,경기,배송완료
KK-260301-0001,2026-03-01,12:29,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,2,31600,63200,부산,배송완료
KK-260301-0014,2026-03-01,12:35,카카오선물하기,섬유향수,헤베 섬유향수,LB-FF-004,1,15800,15800,충남,배송완료
LB-260301-0006,2026-03-01,12:42,자사몰,룸스프레이,소호 유자 룸스프레이,LB-RS-002,2,24000,48000,충북,배송완료
MS-260301-0002,2026-03-01,13:37,무신사,섬유향수,선 드라이 섬유향수,LB-FF-005,2,15000,30000,경기,배송완료
MS-260301-0003,2026-03-01,14:04,무신사,섬유향수,크리미 우드 섬유향수,LB-FF-002,1,15000,15000,경남,배송중
KK-260301-0007,2026-03-01,14:07,카카오선물하기,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,45000,45000,전남,배송완료
MS-260301-0015,2026-03-01,14:42,무신사,핸드크림,플라워 소사이어티 핸드크림,LB-HC-003,2,15200,30400,경기,배송완료
OY-260301-0007,2026-03-01,14:53,올리브영,선물세트,섬유향수&디퓨저 세트,LB-SET-004,1,36800,36800,전북,배송완료
KK-260301-0016,2026-03-01,14:54,카카오선물하기,향수,스노우 사이 오 드 퍼퓸,LB-EDP-001,1,55000,55000,광주,배송완료
KK-260301-0005,2026-03-01,15:17,카카오선물하기,향수,클라우드 사이 오 드 퍼퓸,LB-EDP-002,1,55000,55000,광주,배송완료
OY-260301-0002,2026-03-01,16:14,올리브영,섬유향수,크리미 우드 섬유향수,LB-FF-002,1,15800,15800,인천,배송완료
KK-260301-0004,2026-03-01,16:29,카카오선물하기,룸스프레이,스틸 웨이브 룸스프레이,LB-RS-001,1,24000,24000,경기,배송중
MS-260301-0007,2026-03-01,16:33,무신사,섬유향수,크리미 우드 섬유향수,LB-FF-002,1,15000,15000,경기,배송완료
MS-260301-0001,2026-03-01,17:04,무신사,섬유향수,선 드라이 섬유향수,LB-FF-005,2,15000,30000,인천,배송완료
CM-260301-0002,2026-03-01,17:23,29CM,선물세트,섬유향수&핸드크림 세트,LB-SET-002,1,30800,30800,경기,배송중
MS-260301-0013,2026-03-01,17:25,무신사,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,15200,15200,경기,배송완료
KK-260301-0006,2026-03-01,17:38,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,서울,배송완료
KK-260301-0015,2026-03-01,17:57,카카오선물하기,선물세트,섬유향수&핸드크림 세트,LB-SET-002,2,31800,63600,서울,교환완료
LB-260301-0009,2026-03-01,18:04,자사몰,향수,플라워 소사이어티 오 드 퍼퓸,LB-EDP-007,1,59000,59000,경기,배송완료
LB-260301-0001,2026-03-01,18:46,자사몰,섬유향수,민티 섬유향수,LB-FF-008,1,15800,15800,서울,배송중
MS-260301-0006,2026-03-01,18:46,무신사,핸드크림,티 슬로우 핸드크림,LB-HC-002,1,15200,15200,제주,배송중
KK-260301-0010,2026-03-01,19:06,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,서울,배송완료
OY-260301-0005,2026-03-01,19:40,올리브영,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,16000,16000,경남,배송완료
OY-260301-0006,2026-03-01,19:42,올리브영,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,16000,16000,경기,배송중
KK-260301-0017,2026-03-01,19:44,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,경기,배송완료
MS-260301-0017,2026-03-01,19:50,무신사,섬유향수,헤베 섬유향수,LB-FF-004,1,15000,15000,대구,반품완료
KK-260301-0012,2026-03-01,20:10,카카오선물하기,향수,티 슬로우 오 드 퍼퓸,LB-EDP-008,1,55000,55000,서울,배송중
KK-260301-0018,2026-03-01,20:17,카카오선물하기,선물세트,섬유향수&디퓨저 세트,LB-SET-004,1,36800,36800,광주,배송중
MS-260301-0005,2026-03-01,21:10,무신사,섬유향수,헤베 섬유향수,LB-FF-004,2,15000,30000,경기,배송완료
KK-260301-0003,2026-03-01,21:29,카카오선물하기,디퓨저,메이 라일락 디퓨저,LB-DF-004,1,21000,21000,서울,배송완료
MS-260301-0004,2026-03-01,21:36,무신사,섬유향수,선 드라이 코튼 섬유향수,LB-FF-009,1,15000,15000,인천,배송완료
KK-260301-0013,2026-03-01,21:44,카카오선물하기,선물세트,섬유향수&디퓨저 세트,LB-SET-004,1,36800,36800,전북,배송중
LB-260301-0008,2026-03-01,22:15,자사몰,섬유향수,와일드 가든 섬유향수,LB-FF-006,1,15800,15800,부산,배송완료
KK-260301-0011,2026-03-01,22:37,카카오선물하기,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,16000,16000,대구,배송완료
CM-260301-0004,2026-03-01,22:51,29CM,룸스프레이,스틸 웨이브 룸스프레이,LB-RS-001,2,23200,46400,서울,배송완료
LB-260301-0003,2026-03-01,22:59,자사몰,디퓨저,타이니데스크 콜라보 디퓨저,LB-DF-005,2,37000,74000,광주,배송완료
CM-260301-0003,2026-03-01,23:04,29CM,선물세트,섬유향수 듀오 세트,LB-SET-001,3,30600,91800,경기,배송중
CM-260301-0005,2026-03-01,23:34,29CM,향수,아트 북 오 드 퍼퓸,LB-EDP-009,1,57200,57200,경기,배송완료
OY-260301-0001,2026-03-01,23:40,올리브영,섬유향수,민티 섬유향수,LB-FF-008,1,15800,15800,부산,배송완료
OY-260302-0011,2026-03-02,04:41,올리브영,핸드크림,플라워 소사이어티 핸드크림,LB-HC-003,1,16000,16000,경기,배송완료
OY-260302-0021,2026-03-02,05:04,올리브영,핸드크림,티 슬로우 핸드크림,LB-HC-002,2,16000,32000,서울,반품완료
MS-260302-0030,2026-03-02,06:55,무신사,섬유향수,와일드 가든 섬유향수,LB-FF-006,1,15000,15000,경기,배송완료
CM-260302-0009,2026-03-02,07:15,29CM,향수,로즈 제스트 오 드 퍼퓸,LB-EDP-004,1,57200,57200,서울,배송완료
KK-260302-0020,2026-03-02,07:41,카카오선물하기,디퓨저,메이 라일락 디퓨저,LB-DF-004,1,21000,21000,경기,배송완료
KK-260302-0029,2026-03-02,07:50,카카오선물하기,룸스프레이,포레스트 던 룸스프레이,LB-RS-003,3,24000,72000,경남,배송완료
