date,client_name,industry,platform,campaign_type,campaign_name,impressions,clicks,spend_krw,conversions,revenue_krw,CTR,CPC_krw,CPM_krw,CVR,CPA_krw,ROAS
2026-03-01,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,51925,828,570729,19,2303937,1.59,689,10991,2.29,30038,404
2026-03-02,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,39249,588,578789,15,1598200,1.5,984,14747,2.55,38586,276
2026-03-03,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,38374,563,479741,13,1861655,1.47,852,12502,2.31,36903,388
2026-03-04,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,41462,728,550298,21,1496388,1.76,756,13272,2.88,26205,272
2026-03-05,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,40600,661,606709,15,2690916,1.63,918,14944,2.27,40447,444
2026-03-06,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,47235,710,505247,21,1918537,1.5,712,10696,2.96,24059,380
2026-03-07,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,37834,654,606992,20,2058159,1.73,928,16044,3.06,30350,339
2026-03-08,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,32349,603,580877,19,2292705,1.86,963,17957,3.15,30572,395
2026-03-09,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,53536,885,615595,22,1847774,1.65,696,11499,2.49,27982,300
2026-03-10,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,42305,924,660676,35,3043161,2.18,715,15617,3.79,18876,461
2026-03-11,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,42878,1005,755277,46,4315483,2.34,752,17615,4.58,16419,571
2026-03-12,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,41793,1206,890808,43,4771565,2.89,739,21315,3.57,20716,536
2026-03-13,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,41376,1212,1088727,58,7754204,2.93,898,26313,4.79,18771,712
2026-03-14,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,53868,1417,1074151,62,6133189,2.63,758,19940,4.38,17325,571
2026-03-15,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,25077,427,427761,9,1489050,1.7,1002,17058,2.11,47529,348
2026-03-16,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,30904,467,463485,10,1307400,1.51,992,14998,2.14,46349,282
2026-03-17,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,41049,644,495550,17,1520116,1.57,769,12072,2.64,29150,307
2026-03-18,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,27421,495,505146,11,1484887,1.81,1020,18422,2.22,45922,294
2026-03-19,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,27429,537,480183,14,1426481,1.96,894,17506,2.61,34299,297
2026-03-20,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,29299,532,542087,17,2431522,1.82,1019,18502,3.2,31887,449
2026-03-21,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,26025,494,457839,14,1536950,1.9,927,17592,2.83,32703,336
2026-03-22,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,47428,837,601117,23,2802557,1.76,718,12674,2.75,26136,466
2026-03-23,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,47213,850,654581,20,3000595,1.8,770,13864,2.35,32729,458
2026-03-24,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,44585,836,653367,24,2051830,1.88,782,14654,2.87,27224,314
