캠페인ID,캠페인명,시작일,종료일,채널,캠페인유형,타깃세그먼트,노출수,클릭수,전환수,집행비용,매출기여,브랜드,담당자
MKT-2601-0368,01월_무신사_틱톡_브랜딩_368,2026-01-22,2026-01-31,틱톡,브랜딩,이탈방지,947606,8396,97,8380566,24250008,무신사,최유진
MKT-2601-0641,01월_무신사_앱푸시_퍼포먼스_641,2026-01-01,2026-01-04,앱푸시,퍼포먼스,신규유입,1896209,63717,1332,13562986,58008127,무신사,박서연
MKT-2601-1171,01월_무신사_틱톡_리타겟팅_1171,2026-01-01,2026-01-10,틱톡,리타겟팅,신규유입,97313,5093,487,621652,5862404,무신사,김지현
MKT-2601-0791,01월_무신사_인스타그램_리타겟팅_791,2026-01-10,2026-01-17,인스타그램,리타겟팅,MZ남성,2614521,186426,10615,22569016,217566459,무신사,한도경
MKT-2601-0613,01월_29CM_앱푸시_퍼포먼스_613,2026-01-16,2026-01-17,앱푸시,퍼포먼스,이탈방지,210044,6706,241,2522814,14914031,29CM,최유진
MKT-2601-0455,01월_29CM_유튜브_퍼포먼스_455,2026-01-01,2026-01-02,유튜브,퍼포먼스,신규유입,1163290,22480,1075,8568507,31935662,29CM,최유진
MKT-2601-0745,01월_무신사_틱톡_퍼포먼스_745,2026-01-20,2026-01-21,틱톡,퍼포먼스,MZ남성,760288,20317,471,6737152,37735612,무신사,한도경
MKT-2601-0610,01월_무신사_카카오_퍼포먼스_610,2026-01-15,2026-01-27,카카오,퍼포먼스,VIP,1299419,40895,1470,16542264,98414801,무신사,이준혁
MKT-2601-0419,01월_29CM_인스타그램_퍼포먼스_419,2026-01-19,2026-01-31,인스타그램,퍼포먼스,MZ남성,1464546,23462,566,12524881,40166321,29CM,박서연
MKT-2601-0964,01월_무신사_카카오_리타겟팅_964,2026-01-22,2026-01-30,카카오,리타겟팅,이탈방지,2690746,137774,12224,25119914,284448328,무신사,윤세영
MKT-2601-0484,01월_무신사_유튜브_퍼포먼스_484,2026-01-15,2026-01-26,유튜브,퍼포먼스,브랜드관심,3689507,100890,3087,17655111,84111917,무신사,이준혁
MKT-2601-0003,01월_무신사_인스타그램_브랜딩_3,2026-01-20,2026-01-24,인스타그램,브랜딩,VIP,612283,8890,67,4694550,8251825,무신사,송민아
MKT-2601-0039,01월_무신사_인스타그램_브랜딩_39,2026-01-06,2026-01-20,인스타그램,브랜딩,MZ남성,966104,9703,54,12434280,28370917,무신사,최유진
MKT-2601-1396,01월_무신사_앱푸시_CRM_1396,2026-01-20,2026-01-31,앱푸시,CRM,2030여성,367877,16351,1746,3987699,27518716,무신사,정하늘
MKT-2601-0886,01월_무신사_유튜브_리타겟팅_886,2026-01-09,2026-01-17,유튜브,리타겟팅,2030여성,718710,24676,2356,10285864,120315655,무신사,최유진
MKT-2601-0692,01월_29CM_CRM_퍼포먼스_692,2026-01-08,2026-01-10,CRM,퍼포먼스,신규유입,514438,16107,666,5691841,23630440,29CM,한도경
