날짜,요일,영업여부,특이사항,홀_주문수,홀_매출,배민_주문수,배민_매출,배민_앱수수료,배민_PG수수료,배민_광고수수료,배민_사장배달비,쿠팡이츠_주문수,쿠팡이츠_매출,쿠팡이츠_앱수수료,쿠팡이츠_PG수수료,쿠팡이츠_사장배달비,총매출,총원가,정산순매출,마진추정,코스_매출,주류_매출
2026-03-01,일,영업,삼일절 (공휴일),50,5603000,7,305500,20774,8249,15275,24500,9,259000,25382,6993,31500,6167500,2259600,6034827,3775227,1224000,631000
2026-03-02,월,휴무,정기휴무 (월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-03,화,영업,,73,7356000,15,646500,43962,17458,32325,52500,12,468500,45913,12649,42000,8471000,3075900,8224193,5148293,1669000,1064000
2026-03-04,수,영업,,94,9138000,17,674000,45832,18199,33700,59500,14,658500,64533,17780,49000,10470500,3812800,10181956,6369156,1347000,1259000
2026-03-05,목,영업,,112,11061000,18,1051500,71502,28390,52575,63000,15,614500,60221,16591,52500,12727000,4641400,12382221,7740821,2185000,1355000
2026-03-06,금,영업,,147,14637000,33,1535500,104414,41460,76775,115500,13,550500,53949,14865,45500,16723000,6080700,16270537,10189837,2585000,1764000
2026-03-07,토,영업,,145,14520000,28,1220000,82960,32941,61000,98000,15,691500,67767,18671,52500,16431500,5983300,16017661,10034361,2064000,1860000
2026-03-08,일,영업,,106,10675000,19,882500,60010,23828,44125,66500,11,510000,49980,13771,38500,12067500,4416200,11770786,7354586,2271000,1140000
2026-03-09,월,영업,,82,8964000,17,817000,55556,22061,40850,59500,10,327500,32095,8842,35000,10108500,3843200,9854596,6011396,2303000,1037000
2026-03-10,화,영업,,91,9180000,14,659500,44846,17807,32975,49000,12,500500,49049,13514,42000,10340000,3805900,10090809,6284909,1622000,1037000
2026-03-11,수,영업,,94,9185000,22,833000,56644,22491,41650,77000,12,478500,46893,12920,42000,10496500,3915900,10196902,6281002,2246000,1128000
2026-03-12,목,영업,,91,8660000,22,843000,57324,22760,42150,77000,16,607500,59535,16402,56000,10110500,3733500,9779329,6045829,1586000,1000000
2026-03-13,금,영업,,118,12072000,28,1360000,92480,36722,68000,98000,14,609500,59731,16458,49000,14041500,5127000,13621109,8494109,2535000,1538000
2026-03-14,토,영업,,146,14348000,26,1169000,79492,31564,58450,91000,22,934000,91532,25218,77000,16451000,6151800,15996744,9844944,3173000,1463000
2026-03-15,일,영업,,92,9248000,23,961000,65348,25946,48050,80500,11,322500,31605,8707,38500,10531500,3859700,10232844,6373144,1541000,1195000
2026-03-16,월,휴무,정기휴무 (월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-17,화,영업,,72,7187000,20,999000,67932,26973,49950,70000,5,167000,16366,4509,17500,8353000,3048900,8099770,5050870,1314000,842000
2026-03-18,수,영업,,101,10300000,22,843000,57324,22762,42150,77000,7,287500,28175,7763,24500,11430500,4247700,11170826,6923126,1993000,1168000
2026-03-19,목,영업,,112,10960000,21,966500,65722,26096,48325,73500,11,467500,45815,12623,38500,12394000,4492600,12083419,7590819,1894000,1305000
2026-03-20,금,영업,,121,12094000,30,1170500,79594,31604,58525,105000,19,889500,87171,24020,66500,14154000,5200100,13701586,8501486,2241000,1694000
2026-03-21,토,영업,,144,14354000,36,1659000,112812,44793,82950,126000,16,654000,64092,17662,56000,16667000,6029000,16162691,10133691,2434000,2030000
2026-03-22,일,영업,,98,10101000,25,1181000,80308,31886,59050,87500,9,347500,34055,9383,31500,11629500,4208300,11295818,7087518,1622000,1298000
2026-03-23,월,영업,,76,7661000,12,488000,33184,13176,24400,42000,16,594000,58212,16039,56000,8743000,3209800,8499989,5290189,1758000,997000
2026-03-24,화,영업,,74,7606000,24,884000,60112,23869,44200,84000,7,272500,26705,7358,24500,8762500,3182600,8491756,5309156,1433000,1186000
2026-03-25,수,영업,,90,9337000,21,852500,57970,23019,42625,73500,11,365500,35819,9866,38500,10555000,3926000,10273701,6347701,2269000,1294000
2026-03-26,목,영업,,107,9976000,19,912000,62016,24623,45600,66500,11,413000,40474,11151,38500,11301000,4233700,11012136,6778436,2220000,1102000
2026-03-27,금,영업,,131,13246000,30,1559500,106046,42106,77975,105000,10,430500,42189,11625,35000,15236000,5607300,14816059,9208759,2100000,1614000
2026-03-28,토,영업,,125,13640000,21,850000,57800,22949,42500,73500,21,935000,91630,25245,73500,15425000,5619600,15037876,9418276,2128000,1704000
2026-03-29,일,영업,,105,10433000,23,896000,60928,24190,44800,80500,7,316000,30968,8531,24500,11645000,4297600,11370583,7072983,1991000,1234000
2026-03-30,월,영업,,76,7501000,18,579000,39372,15634,28950,63000,11,466500,45717,12596,38500,8546500,3103300,8302731,5199431,1239000,861000
2026-03-31,화,영업,,89,9222000,18,777500,52870,20992,38875,63000,10,465000,45570,12555,35000,10464500,3852500,10195638,6343138,1506000,1161000
2026-04-01,수,영업,,92,9030000,14,649000,44132,17524,32450,49000,23,1072000,105056,28943,80500,10751000,3944300,10393395,6449095,1818000,1061000
2026-04-02,목,영업,,121,11895000,24,1051500,71502,28389,52575,84000,12,488500,47873,13191,42000,13435000,4941800,13095470,8153670,2207000,1593000
2026-04-03,금,영업,,138,13973000,29,1098000,74664,29646,54900,101500,21,837500,82075,22613,73500,15908500,5782200,15469602,9687402,1716000,1873000
2026-04-04,토,영업,,153,14982000,20,633500,43078,17105,31675,70000,29,1317500,129115,35570,101500,16933000,6206600,16504957,10298357,2978000,1754000
2026-04-05,일,영업,,98,9513000,20,868500,59058,23450,43425,70000,25,1165000,114170,31454,87500,11546500,4221700,11117443,6895743,1936000,1108000
2026-04-06,월,휴무,정기휴무 (월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07,화,영업,,97,10092000,20,852500,57970,23018,42625,70000,11,542000,53116,14634,38500,11486500,4129400,11186637,7057237,1256000,1593000
2026-04-08,수,영업,,100,9821000,20,889500,60486,24014,44475,70000,20,848500,83153,22908,70000,11559000,4175600,11183964,7008364,1778000,1398000
2026-04-09,목,영업,,110,11080000,24,962500,65450,25992,48125,84000,20,862000,84476,23274,70000,12904500,4752800,12503183,7750383,2478000,1237000
2026-04-10,금,영업,,167,16501000,32,1605500,109174,43348,80275,112000,22,889000,87122,24004,77000,18995500,6998100,18462577,11464477,3303000,2174000
2026-04-11,토,영업,,146,14453000,31,1242000,84456,33533,62100,108500,31,1206000,118188,32563,108500,16901000,6100100,16353160,10253060,2359000,2203000
2026-04-12,일,영업,인스타 릴스 바이럴,127,12561000,25,1013000,68884,27348,50650,87500,27,1301500,127547,35141,94500,14875500,5427600,14383930,8956330,2085000,1924000
2026-04-13,월,영업,,89,9582000,19,798500,54298,21559,39925,66500,11,559000,54782,15094,38500,10939500,4015800,10648842,6633042,1776000,1209000
2026-04-14,화,영업,,78,7399000,19,733500,49878,19807,36675,66500,16,716000,70168,19332,56000,8848500,3210700,8530140,5319440,960000,852000
2026-04-15,수,영업,,105,10118000,18,811000,55148,21896,40550,63000,17,701500,68747,18941,59500,11630500,4330300,11302718,6972418,2032000,1041000
2026-04-16,목,영업,,102,10290000,22,1021500,69462,27581,51075,77000,22,951000,93198,25676,77000,12262500,4437500,11841508,7404008,1754000,1341000
2026-04-17,금,영업,,141,14032000,30,1126000,76568,30403,56300,105000,26,1017000,99666,27462,91000,16175000,5961900,15688601,9726701,2628000,1851000
2026-04-18,토,영업,,139,13894000,18,713000,48484,19250,35650,63000,40,1668000,163464,45035,140000,16275000,5905400,15760117,9854717,2144000,1588000
2026-04-19,일,영업,,121,12832000,22,1042000,70856,28136,52100,77000,21,868000,85064,23434,73500,14742000,5358000,14331910,8973910,2556000,1722000
2026-04-20,월,휴무,정기휴무 (월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-21,화,영업,,75,7760000,15,719000,48892,19413,35950,52500,17,696500,68257,18806,59500,9175500,3381300,8872182,5490882,1734000,1000000
2026-04-22,수,영업,,105,10840000,29,1260500,85714,34033,63025,101500,11,463000,45374,12503,38500,12563500,4552900,12182851,7629951,1802000,1569000
2026-04-23,목,영업,,106,10521000,27,1191000,80988,32155,59550,94500,19,797500,78155,21530,66500,12509500,4563100,12076122,7513022,2243000,1155000
