주문번호,주문일,주문시간,요일,채널,인원수,SKU,카테고리,메뉴명,수량,단가,합계,원가합계,주문총액,주문원가합계,앱수수료,PG수수료,광고수수료,사장배달비분담,정산순매출
CE-260401-0001,2026-04-01,13:36,수,쿠팡이츠,3,S003,식사,묵은지등갈비찜 (소),1,39000,39000,12500,83500,26300,8183,2254,0,3500,69563
CE-260401-0001,2026-04-01,13:36,수,쿠팡이츠,3,S007,식사,보쌈 (소),1,33000,33000,11000,83500,26300,8183,2254,0,3500,69563
CE-260401-0001,2026-04-01,13:36,수,쿠팡이츠,3,D007,사이드,도토리묵,1,11500,11500,2800,83500,26300,8183,2254,0,3500,69563
CE-260401-0002,2026-04-01,19:53,수,쿠팡이츠,1,S010,식사,들기름 막국수,1,13500,13500,4200,19000,5400,1862,513,0,3500,13125
CE-260401-0002,2026-04-01,19:53,수,쿠팡이츠,1,B003,음료,수정과,1,5500,5500,1200,19000,5400,1862,513,0,3500,13125
CE-260401-0003,2026-04-01,12:19,수,쿠팡이츠,4,S003,식사,묵은지등갈비찜 (소),1,39000,39000,12500,52500,16700,5145,1418,0,3500,42437
CE-260401-0003,2026-04-01,12:19,수,쿠팡이츠,4,S010,식사,들기름 막국수,1,13500,13500,4200,52500,16700,5145,1418,0,3500,42437
BM-260401-0001,2026-04-01,20:57,수,배민,1,S005,식사,간장게장 정식,1,33000,33000,14000,38500,15200,2618,1040,1925,3500,29417
BM-260401-0001,2026-04-01,20:57,수,배민,1,B004,음료,식혜,1,5500,5500,1200,38500,15200,2618,1040,1925,3500,29417
CE-260401-0004,2026-04-01,12:13,수,쿠팡이츠,1,S007,식사,보쌈 (소),1,33000,33000,11000,33000,11000,3234,891,0,3500,25375
BM-260401-0002,2026-04-01,12:26,수,배민,1,S009,식사,한우 육회비빔밥,1,23000,23000,10500,34500,13300,2346,932,1725,3500,25997
BM-260401-0002,2026-04-01,12:26,수,배민,1,D007,사이드,도토리묵,1,11500,11500,2800,34500,13300,2346,932,1725,3500,25997
BM-260401-0003,2026-04-01,18:04,수,배민,1,S002,식사,한우육개장,1,22000,22000,8200,33500,11000,2278,904,1675,3500,25143
BM-260401-0003,2026-04-01,18:04,수,배민,1,D007,사이드,도토리묵,1,11500,11500,2800,33500,11000,2278,904,1675,3500,25143
BM-260401-0004,2026-04-01,12:55,수,배민,2,S005,식사,간장게장 정식,1,33000,33000,14000,50500,18500,3434,1364,2525,3500,39677
BM-260401-0004,2026-04-01,12:55,수,배민,2,D004,사이드,해물파전,1,17500,17500,4500,50500,18500,3434,1364,2525,3500,39677
CE-260401-0005,2026-04-01,14:24,수,쿠팡이츠,2,S003,식사,묵은지등갈비찜 (소),1,39000,39000,12500,47500,14300,4655,1282,0,3500,38063
CE-260401-0005,2026-04-01,14:24,수,쿠팡이츠,2,A007,주류,막걸리 (병),1,8500,8500,1800,47500,14300,4655,1282,0,3500,38063
CE-260401-0006,2026-04-01,16:26,수,쿠팡이츠,3,S012,식사,전복죽,1,18500,18500,6800,32000,9500,3136,864,0,3500,24500
CE-260401-0006,2026-04-01,16:26,수,쿠팡이츠,3,B001,음료,사이다,3,4500,13500,2700,32000,9500,3136,864,0,3500,24500
BM-260401-0005,2026-04-01,20:31,수,배민,1,S010,식사,들기름 막국수,1,13500,13500,4200,31000,8700,2108,837,1550,3500,23005
BM-260401-0005,2026-04-01,20:31,수,배민,1,D004,사이드,해물파전,1,17500,17500,4500,31000,8700,2108,837,1550,3500,23005
CE-260401-0007,2026-04-01,13:55,수,쿠팡이츠,1,S002,식사,한우육개장,1,22000,22000,8200,39000,12200,3822,1053,0,3500,30625
CE-260401-0007,2026-04-01,13:55,수,쿠팡이츠,1,D007,사이드,도토리묵,1,11500,11500,2800,39000,12200,3822,1053,0,3500,30625
CE-260401-0007,2026-04-01,13:55,수,쿠팡이츠,1,B003,음료,수정과,1,5500,5500,1200,39000,12200,3822,1053,0,3500,30625
BM-260401-0006,2026-04-01,20:14,수,배민,1,S010,식사,들기름 막국수,1,13500,13500,4200,13500,4200,918,364,675,3500,8043
CE-260401-0008,2026-04-01,17:45,수,쿠팡이츠,1,S009,식사,한우 육회비빔밥,1,23000,23000,10500,28500,11700,2793,770,0,3500,21437
CE-260401-0008,2026-04-01,17:45,수,쿠팡이츠,1,B003,음료,수정과,1,5500,5500,1200,28500,11700,2793,770,0,3500,21437
BM-260401-0007,2026-04-01,19:33,수,배민,4,S012,식사,전복죽,1,18500,18500,6800,62500,16700,4250,1688,3125,3500,49937
BM-260401-0007,2026-04-01,19:33,수,배민,4,D004,사이드,해물파전,1,17500,17500,4500,62500,16700,4250,1688,3125,3500,49937
BM-260401-0007,2026-04-01,19:33,수,배민,4,B002,음료,콜라,4,4500,18000,3600,62500,16700,4250,1688,3125,3500,49937
BM-260401-0007,2026-04-01,19:33,수,배민,4,A007,주류,막걸리 (병),1,8500,8500,1800,62500,16700,4250,1688,3125,3500,49937
CE-260401-0009,2026-04-01,16:48,수,쿠팡이츠,3,S005,식사,간장게장 정식,1,33000,33000,14000,69500,21700,6811,1876,0,3500,57313
CE-260401-0009,2026-04-01,16:48,수,쿠팡이츠,3,D003,사이드,감자전,1,14500,14500,3200,69500,21700,6811,1876,0,3500,57313
CE-260401-0009,2026-04-01,16:48,수,쿠팡이츠,3,B001,음료,사이다,3,4500,13500,2700,69500,21700,6811,1876,0,3500,57313
CE-260401-0009,2026-04-01,16:48,수,쿠팡이츠,3,A007,주류,막걸리 (병),1,8500,8500,1800,69500,21700,6811,1876,0,3500,57313
CE-260401-0010,2026-04-01,19:51,수,쿠팡이츠,1,S001,식사,갈비탕,1,20000,20000,7800,25500,9000,2499,688,0,3500,18813
CE-260401-0010,2026-04-01,19:51,수,쿠팡이츠,1,B004,음료,식혜,1,5500,5500,1200,25500,9000,2499,688,0,3500,18813
BM-260401-0008,2026-04-01,18:38,수,배민,3,S001,식사,갈비탕,1,20000,20000,7800,45000,13300,3060,1215,2250,3500,34975
BM-260401-0008,2026-04-01,18:38,수,배민,3,D007,사이드,도토리묵,1,11500,11500,2800,45000,13300,3060,1215,2250,3500,34975
BM-260401-0008,2026-04-01,18:38,수,배민,3,B001,음료,사이다,3,4500,13500,2700,45000,13300,3060,1215,2250,3500,34975
CE-260401-0011,2026-04-01,12:19,수,쿠팡이츠,3,S012,식사,전복죽,2,18500,37000,13600,37000,13600,3626,999,0,3500,28875
CE-260401-0012,2026-04-01,21:59,수,쿠팡이츠,1,S009,식사,한우 육회비빔밥,1,23000,23000,10500,28500,11700,2793,770,0,3500,21437
CE-260401-0012,2026-04-01,21:59,수,쿠팡이츠,1,B004,음료,식혜,1,5500,5500,1200,28500,11700,2793,770,0,3500,21437
