주문번호,주문일,주문시간,요일,인원수,SKU,카테고리,메뉴명,수량,단가,합계,원가합계,결제수단
P-260401-0001,2026-04-01,21:47,수,4,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0001,2026-04-01,21:47,수,4,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0001,2026-04-01,21:47,수,4,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260401-0001,2026-04-01,21:47,수,4,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0001,2026-04-01,21:47,수,4,A004,주류,카스,2,6000,12000,3000,카드
P-260401-0001,2026-04-01,21:47,수,4,A002,주류,처음처럼,2,5000,10000,2400,카드
P-260401-0002,2026-04-01,21:53,수,4,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0002,2026-04-01,21:53,수,4,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0002,2026-04-01,21:53,수,4,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260401-0002,2026-04-01,21:53,수,4,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260401-0002,2026-04-01,21:53,수,4,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0002,2026-04-01,21:53,수,4,A004,주류,카스,1,6000,6000,1500,카드
P-260401-0002,2026-04-01,21:53,수,4,A002,주류,처음처럼,1,5000,5000,1200,카드
P-260401-0003,2026-04-01,13:25,수,2,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,현금
P-260401-0004,2026-04-01,21:43,수,4,S002,식사,한우육개장,1,21000,21000,8200,계좌이체
P-260401-0004,2026-04-01,21:43,수,4,S004,식사,묵은지등갈비찜 (대),1,58000,58000,21000,계좌이체
P-260401-0004,2026-04-01,21:43,수,4,D003,사이드,감자전,1,14000,14000,3200,계좌이체
P-260401-0004,2026-04-01,21:43,수,4,A002,주류,처음처럼,2,5000,10000,2400,계좌이체
P-260401-0004,2026-04-01,21:43,수,4,A004,주류,카스,1,6000,6000,1500,계좌이체
P-260401-0005,2026-04-01,21:10,수,5,S009,식사,한우 육회비빔밥,1,22000,22000,10500,간편결제
P-260401-0005,2026-04-01,21:10,수,5,D007,사이드,도토리묵,1,11000,11000,2800,간편결제
P-260401-0005,2026-04-01,21:10,수,5,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,간편결제
P-260401-0005,2026-04-01,21:10,수,5,A003,주류,테라,1,6000,6000,1500,간편결제
P-260401-0005,2026-04-01,21:10,수,5,A001,주류,참이슬 후레쉬,1,5000,5000,1200,간편결제
P-260401-0006,2026-04-01,12:16,수,4,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,카드
P-260401-0006,2026-04-01,12:16,수,4,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0006,2026-04-01,12:16,수,4,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,카드
P-260401-0006,2026-04-01,12:16,수,4,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0007,2026-04-01,23:11,수,2,M001,코스,청기와 한정식 (1인),2,39000,78000,33000,카드
P-260401-0008,2026-04-01,15:18,수,4,S001,식사,갈비탕,1,19000,19000,7800,간편결제
P-260401-0008,2026-04-01,15:18,수,4,S004,식사,묵은지등갈비찜 (대),1,58000,58000,21000,간편결제
P-260401-0008,2026-04-01,15:18,수,4,D001,사이드,한치회무침,1,22000,22000,7800,간편결제
P-260401-0008,2026-04-01,15:18,수,4,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,간편결제
P-260401-0008,2026-04-01,15:18,수,4,D004,사이드,해물파전,1,17000,17000,4500,간편결제
P-260401-0008,2026-04-01,15:18,수,4,A003,주류,테라,1,6000,6000,1500,간편결제
P-260401-0008,2026-04-01,15:18,수,4,A001,주류,참이슬 후레쉬,1,5000,5000,1200,간편결제
P-260401-0009,2026-04-01,16:06,수,2,M002,코스,청기와 프리미엄 한정식 (1인),2,59000,118000,48000,카드
P-260401-0009,2026-04-01,16:06,수,2,A008,주류,전통주 페어링 코스,1,49000,49000,18000,카드
P-260401-0010,2026-04-01,18:26,수,2,S003,식사,묵은지등갈비찜 (소),1,38000,38000,12500,카드
P-260401-0010,2026-04-01,18:26,수,2,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
