주문번호,주문일,주문시간,채널,카테고리,상품명,SKU,수량,단가,합계,배송지역,주문상태
RM-260201-0001,2026-02-01,10:23,공식몰,수전금구,세면수전 CITY,RWF-CTY110,1,120000,120000,서울,배송완료
RM-260201-0002,2026-02-01,11:45,공식몰,수전금구,NeoTemp 수전 HOME,RWF-NT-HOME,1,350000,350000,경기,배송완료
CP-260201-0001,2026-02-01,09:12,쿠팡,수전금구,세면수전 CITY,RWF-CTY110,1,120000,120000,서울,배송완료
CP-260201-0002,2026-02-01,09:12,쿠팡,부자재,트랩,RWP-TR10,2,15000,30000,서울,배송완료
CP-260201-0003,2026-02-01,13:30,쿠팡,수전금구,세면수전 CITY,RWF-CTY110,1,120000,120000,경기,배송완료
NV-260201-0001,2026-02-01,14:22,네이버,액세서리,액세서리 3종세트,RWA-SET1,1,78000,78000,인천,배송완료
NV-260201-0002,2026-02-01,15:05,네이버,수전금구,세면수전 MOD,RWF-MOD210,1,150000,150000,서울,배송완료
RM-260202-0001,2026-02-02,10:11,공식몰,수전금구,NeoTemp 수전 HOME,RWF-NT-HOME,1,350000,350000,서울,배송완료
RM-260202-0002,2026-02-02,10:11,공식몰,액세서리,거울,RWA-M200,1,85000,85000,서울,배송완료
CP-260202-0001,2026-02-02,08:55,쿠팡,수전금구,세면수전 CITY,RWF-CTY110,2,120000,240000,경기,배송완료
CP-260202-0002,2026-02-02,11:20,쿠팡,부자재,샤워호스,RWP-HOS30,1,12000,12000,부산,배송완료
NV-260202-0001,2026-02-02,16:33,네이버,액세서리,액세서리 3종세트,RWA-SET1,2,78000,156000,경기,배송완료
SG-260202-0001,2026-02-02,13:00,SSG,수전금구,세면수전 CANYON,RWF-CAN310,1,280000,280000,서울,배송완료
RM-260203-0001,2026-02-03,09:44,공식몰,위생도기/비데,비데 감지식 일반,RWB-100,1,350000,350000,경기,배송완료
CP-260203-0001,2026-02-03,10:05,쿠팡,수전금구,세면수전 CITY,RWF-CTY110,1,120000,120000,서울,배송완료
CP-260203-0002,2026-02-03,10:05,쿠팡,부자재,앵글밸브,RWP-AV20,2,8000,16000,서울,배송완료
NV-260203-0001,2026-02-03,14:18,네이버,액세서리,수건걸이,RWA-T120,2,35000,70000,인천,배송완료
NV-260203-0002,2026-02-03,17:40,네이버,수전금구,세면수전 MOD,RWF-MOD210,1,150000,150000,경기,배송완료
RM-260204-0001,2026-02-04,11:30,공식몰,수전금구,세면수전 DIVE,RWF-DIV220,1,200000,200000,서울,배송완료
CP-260204-0001,2026-02-04,09:22,쿠팡,수전금구,세면수전 CITY,RWF-CTY110,1,120000,120000,대구,배송완료
